Grade,Topic,URL
Kindergarten,Introduction to numbers,https://www.youtube.com/watch?v=ZJEIKkPXirg
Kindergarten,Introduction to numbers,https://www.youtube.com/watch?v=KlREqiO6t2s
Kindergarten,Patterns and sequencing,https://www.youtube.com/watch?v=CzFLDtvN_Xk
Kindergarten,Patterns and sequencing,https://www.youtube.com/watch?v=Js45cR_7wFE
Kindergarten,Measurement,https://www.youtube.com/watch?v=2wUsdsae0ro
Kindergarten,Measurement,https://www.youtube.com/watch?v=8lD3qDZdnp8
Kindergarten,Logical reasoning and problem-solving,https://www.youtube.com/watch?v=Aq5ms0s_GuQ
Kindergarten,Logical reasoning and problem-solving,https://www.youtube.com/watch?v=T17uXLNMi6E
Grade 1,Number operations,https://www.youtube.com/watch?v=lnqxFNUQ-pM
Grade 1,Number operations,https://www.youtube.com/watch?v=VScM8Z8Jls0
Grade 1,Place value,https://www.youtube.com/watch?v=1F3AycEDksY
Grade 1,Place value,https://www.youtube.com/watch?v=eC1dPiC9PyM
Grade 1,Fractions,https://www.youtube.com/watch?v=362JVVvgYPE
Grade 1,Fractions,https://www.youtube.com/watch?v=akxO8eNSXJ8
Grade 1,Geometry,https://www.youtube.com/watch?v=lBCIGY3dWXQ
Grade 1,Geometry,https://www.youtube.com/watch?v=wH6JiePHdwA
Grade 1,Time and money,https://www.youtube.com/watch?v=GtlL_5Ct5rU
Grade 1,Time and money,https://www.youtube.com/watch?v=Z7hwaeaDk-I
Grade 1,Data handling,https://www.youtube.com/watch?v=vGltqHeBYGk
Grade 1,Data handling,https://www.youtube.com/watch?v=hKHgqqk4NbE
Grade 2,Number operations,https://www.youtube.com/watch?v=Yjr-OX2o2Xs
Grade 2,Number operations,https://www.youtube.com/watch?v=NVPUExRzzf0
Grade 2,Place value,https://www.youtube.com/watch?v=Paza3CbdamI
Grade 2,Place value,https://www.youtube.com/watch?v=Ju3kQjmcH5g
Grade 2,Fractions,https://www.youtube.com/watch?v=6ooKWyPI0i4
Grade 2,Fractions,https://www.youtube.com/watch?v=p33BYf1NDAE
Grade 2,Geometry,https://www.youtube.com/watch?v=01jQIgHZcVI
Grade 2,Geometry,https://www.youtube.com/watch?v=gk_u1xr7jQg
Grade 2,Time and money,https://www.youtube.com/watch?v=TnSj6QCnX1o
Grade 2,Time and money,https://www.youtube.com/watch?v=dhAVtj7ChkU
Grade 2,Data handling,https://www.youtube.com/watch?v=hKHgqqk4NbE
Grade 2,Data handling,https://www.youtube.com/watch?v=zF_dBk8EPDk
Grade 3,Number operations,https://www.youtube.com/watch?v=rmhTkanhVyI
Grade 3,Number operations,https://www.youtube.com/watch?v=sWw9L45Js-k
Grade 3,Place value,https://www.youtube.com/watch?v=QS32l5WhSuY
Grade 3,Place value,https://www.youtube.com/watch?v=K7k3_eiA4UM
Grade 3,Fractions,https://www.youtube.com/watch?v=p33BYf1NDAE
Grade 3,Fractions,https://www.youtube.com/watch?v=jgWqSjgMAtw
Grade 3,Geometry,https://www.youtube.com/watch?v=J-kLTQPNnPc
Grade 3,Geometry,https://www.youtube.com/watch?v=EiB2JI7ghHg
Grade 3,Time and money,https://www.youtube.com/watch?v=oRzvkykR89E
Grade 3,Time and money,https://www.youtube.com/watch?v=rISm2pRpShw
Grade 3,Data handling,https://www.youtube.com/watch?v=zF_dBk8EPDk
Grade 3,Data handling,https://www.youtube.com/watch?v=hKHgqqk4NbE
Grade 4,Whole numbers,https://www.youtube.com/watch?v=xk2Zvdp5m0A
Grade 4,Whole numbers,https://www.youtube.com/watch?v=BJMNayPOcyk
Grade 4,Decimals,https://www.youtube.com/watch?v=9frz4ODJUc0
Grade 4,Decimals,https://www.youtube.com/watch?v=BItpeFXC4vA
Grade 4,Fractions,https://www.youtube.com/watch?v=p33BYf1NDAE
Grade 4,Fractions,https://www.youtube.com/watch?v=ke5Ik-Iq0YQ
Grade 4,Percentage,https://www.youtube.com/watch?v=kDFLcCOS7aw
Grade 4,Percentage,https://www.youtube.com/watch?v=AL0-0f9azNo
Grade 4,Mensuration,https://www.youtube.com/watch?v=NwO363dyeOg
Grade 4,Mensuration,https://www.youtube.com/watch?v=8cz_IB65pZM
Grade 4,Symmetry,https://www.youtube.com/watch?v=VPQBZkKb330
Grade 4,Symmetry,https://www.youtube.com/watch?v=1u57rNNxDHg
Grade 4,Introduction to algebra,https://www.youtube.com/watch?v=JgBMle1o_SA
Grade 4,Introduction to algebra,https://www.youtube.com/watch?v=NybHckSEQBI
Grade 5,Whole numbers,https://www.youtube.com/watch?v=0MqP7aeTszM
Grade 5,Whole numbers,https://www.youtube.com/watch?v=xk2Zvdp5m0A
Grade 5,Decimals,https://www.youtube.com/watch?v=u0mREOY0xso
Grade 5,Decimals,https://www.youtube.com/watch?v=7g4Ef4h8o-w
Grade 5,Fractions,https://www.youtube.com/watch?v=-sxfriO_IV0
Grade 5,Fractions,https://www.youtube.com/watch?v=ULl0f_3cA_o
Grade 5,Percentage,https://www.youtube.com/watch?v=JeVSmq1Nrpw
Grade 5,Percentage,https://www.youtube.com/watch?v=AL0-0f9azNo
Grade 5,Mensuration,https://www.youtube.com/watch?v=boqk6I8st8U
Grade 5,Mensuration,https://www.youtube.com/watch?v=JxkWSDpfOFY
Grade 5,Symmetry,https://www.youtube.com/watch?v=-0wDI6xM3zw
Grade 5,Symmetry,https://www.youtube.com/watch?v=1u57rNNxDHg
Grade 5,Introduction to algebra,https://www.youtube.com/watch?v=NybHckSEQBI
Grade 5,Introduction to algebra,https://www.youtube.com/watch?v=-Nonj42Ph8k
Grade 6,Rational numbers,https://www.youtube.com/watch?v=wswkQxG-Kk8
Grade 6,Rational numbers,https://www.youtube.com/watch?v=MgqHXZcyWZE
Grade 6,Exponents and powers,https://www.youtube.com/watch?v=NS4vHqJIPiE
Grade 6,Exponents and powers,https://www.youtube.com/watch?v=nuDz3O3yZOA
Grade 6,Linear equations,https://www.youtube.com/watch?v=tHm3X_Ta_iE
Grade 6,Linear equations,https://www.youtube.com/watch?v=L0_K89UJfJY
Grade 6,Introduction to graphs,https://www.youtube.com/watch?v=bmY28wdGL9M
Grade 6,Introduction to graphs,https://www.youtube.com/watch?v=hcgThf5mv38
Grade 6,Mensuration,https://www.youtube.com/watch?v=0kRuFlWC6iA
Grade 6,Mensuration,https://www.youtube.com/watch?v=fJaEscBRXSk
Grade 6,Pythagoras theorem,https://www.youtube.com/watch?v=nCD-bAEbB3I
Grade 6,Pythagoras theorem,https://www.youtube.com/watch?v=plZV63uofgs
Grade 6,Ratio and proportion,https://www.youtube.com/watch?v=3sVi2JhHvWM
Grade 6,Ratio and proportion,https://www.youtube.com/watch?v=USmit5zUGas
Grade 6,Triangles,https://www.youtube.com/watch?v=mLeNaZcy-hE
Grade 6,Triangles,https://www.youtube.com/watch?v=LAlQnW6-6c4
Grade 6,Introduction to statistics,https://www.youtube.com/watch?v=h8EYEJ32oQ8
Grade 6,Introduction to statistics,https://www.youtube.com/watch?v=sxQaBpKfDRk
Grade 7,Rational numbers,https://www.youtube.com/watch?v=a_Wi-6SRBTc
Grade 7,Rational numbers,https://www.youtube.com/watch?v=wswkQxG-Kk8
Grade 7,Exponents and powers,https://www.youtube.com/watch?v=NS4vHqJIPiE
Grade 7,Exponents and powers,https://www.youtube.com/watch?v=-zUmvpkhvW8
Grade 7,Linear equations,https://www.youtube.com/watch?v=crJI4iZ_DbI
Grade 7,Linear equations,https://www.youtube.com/watch?v=tHm3X_Ta_iE
Grade 7,Introduction to graphs,https://www.youtube.com/watch?v=9Uc62CuQjc4
Grade 7,Introduction to graphs,https://www.youtube.com/watch?v=hcgThf5mv38
Grade 7,Mensuration,https://www.youtube.com/watch?v=dpsFC93tQoM
Grade 7,Mensuration,https://www.youtube.com/watch?v=xCdxURXMdFY
Grade 7,Pythagoras theorem,https://www.youtube.com/watch?v=nCD-bAEbB3I
Grade 7,Pythagoras theorem,https://www.youtube.com/watch?v=plZV63uofgs
Grade 7,Ratio and proportion,https://www.youtube.com/watch?v=JOZSFwuyqok
Grade 7,Ratio and proportion,https://www.youtube.com/watch?v=nfuav8pco4w
Grade 7,Triangles,https://www.youtube.com/watch?v=mLeNaZcy-hE
Grade 7,Triangles,https://www.youtube.com/watch?v=OGBRxN4hCzg
Grade 7,Introduction to statistics,https://www.youtube.com/watch?v=CNVOEOUIFMc
Grade 7,Introduction to statistics,https://www.youtube.com/watch?v=hJRAIK0PGdM
Grade 8,Rational numbers,https://www.youtube.com/watch?v=wswkQxG-Kk8
Grade 8,Rational numbers,https://www.youtube.com/watch?v=X6eQHiV8NSw
Grade 8,Exponents and powers,https://www.youtube.com/watch?v=16U2rN0dxrU
Grade 8,Exponents and powers,https://www.youtube.com/watch?v=cWKMaec8IkM
Grade 8,Linear equations,https://www.youtube.com/watch?v=jxHyzT540Gc
Grade 8,Linear equations,https://www.youtube.com/watch?v=rgvysb9emcQ
Grade 8,Introduction to graphs,https://www.youtube.com/watch?v=3lPspTetBws
Grade 8,Introduction to graphs,https://www.youtube.com/watch?v=hcgThf5mv38
Grade 8,Mensuration,https://www.youtube.com/watch?v=RTQ5KC0KZdw
Grade 8,Mensuration,https://www.youtube.com/watch?v=9jQHc8oH0WU
Grade 8,Pythagoras theorem,https://www.youtube.com/watch?v=nCD-bAEbB3I
Grade 8,Pythagoras theorem,https://www.youtube.com/watch?v=d8EA5TxGzcY
